appCode,catalogues,placements,phaseCandidates
ACCESS_ASSIGNMENTS,tenant-administration,tenant-administration/admin-identity-access/admin-access,03-access-control
ACTIVE_SESSIONS,tenant-administration,tenant-administration/admin-identity-access/admin-identity,06-authentication
ALUMNI_MANAGEMENT,hr-specialist-operations,hr-operations/hr-recruitment-lifecycle/hr-lifecycle,23-offboarding-and-alumni
ANNOUNCEMENTS,employee-self-service,employee/employee-overview/employee-information-service,03-access-control;29-engagement-and-wellbeing
ANNOUNCEMENT_MANAGEMENT,hr-specialist-operations,hr-operations/hr-governance-assets-engagement/hr-engagement,29-engagement-and-wellbeing
API_CREDENTIALS,tenant-administration,tenant-administration/admin-identity-access/admin-identity,06-authentication
APPLY_LEAVE,employee-self-service,employee/employee-overview/employee-quick-actions;employee/employee-work-time/employee-time-corrections,12-leave-and-absence
APPROVE_ATTENDANCE,manager-self-service,manager/manager-overview/manager-common-approvals,13-attendance-and-work-schedule
APPROVE_EXPENSES,manager-self-service,manager/manager-overview/manager-common-approvals,20-expenses
APPROVE_LEAVES,manager-self-service,manager/manager-overview/manager-common-approvals,12-leave-and-absence
APPROVE_TIMESHEETS,manager-self-service,manager/manager-overview/manager-common-approvals,16-timesheet
APP_CATALOGUE_CONFIGURATION,tenant-administration,tenant-administration/admin-identity-access/admin-access,03-access-control
ASSET_ADMINISTRATION,hr-specialist-operations,hr-operations/hr-governance-assets-engagement/hr-assets,27-asset-management
ASSET_CATEGORIES,tenant-administration,tenant-administration/admin-reference-data/admin-pay-assets-lifecycle,27-asset-management
ASSET_MAINTENANCE,hr-specialist-operations,hr-operations/hr-governance-assets-engagement/hr-assets,27-asset-management
ASSET_UTILIZATION,people-analytics,analytics/analytics-workforce-operations/analytics-time-operations,27-asset-management;30-analytics-and-insights
ASSIGN_PROJECTS,manager-self-service,manager/manager-team-operations/manager-time-projects,15-projects-and-utilization
ATTENDANCE_CORRECTIONS,employee-self-service,employee/employee-work-time/employee-time-corrections,13-attendance-and-work-schedule
